Frame_Number,Clock_Time,Elapsed_Seconds,CAN_ID_Hex,CAN_ID_Dec,DLC,Data_Hex,Data_Byte_0,Data_Byte_1,Data_Byte_2,Data_Byte_3,Data_Byte_4,Data_Byte_5,Data_Byte_6,Data_Byte_7,Is_Extended,Is_RTR
1,00:16:47.557,6.926919,0x123,291,8,00 01 AA BB CC DD EE FF,0x00,0x01,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
2,00:16:48.557,7.927609,0x123,291,8,00 02 AA BB CC DD EE FF,0x00,0x02,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
3,00:16:49.559,8.928828,0x123,291,8,00 03 AA BB CC DD EE FF,0x00,0x03,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
4,00:16:50.560,9.930003,0x123,291,8,00 04 AA BB CC DD EE FF,0x00,0x04,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
5,00:16:51.561,10.931503,0x123,291,8,00 05 AA BB CC DD EE FF,0x00,0x05,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
6,00:16:52.562,11.932525,0x123,291,8,00 06 AA BB CC DD EE FF,0x00,0x06,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
7,00:16:53.563,12.932989,0x123,291,8,00 07 AA BB CC DD EE FF,0x00,0x07,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
